name,address,access,remarks,latitude,longitude
スポーツウェーブ鉄腕24,千葉市中央区浜野町1025-59D'station浜野店 2F,浜野駅,,,
セガアリーナ蘇我,千葉市中央区川崎町6-9ハーバーシティ蘇我フェスティバルウォーク アミューズメント棟 1F,蘇我駅,,,
タイトーステーション アリオ蘇我店,千葉市中央区川崎町7-20 アリオ蘇我2F,蘇我駅,旧：ラクガキ王国蘇我,,
ゆにろーず横戸,千葉市花見川区横戸町911-1,,,,
ソユープレイランドソピア幕張,千葉市花見川区幕張町4-417-25 イトーヨーカドー幕張店2F,,,,
アミュージアム稲毛店,千葉市稲毛区小仲台1-4-20イオン稲毛2F,JR稲毛駅,,,
スポーツウェーブ鉄腕24稲毛長沼店,千葉市稲毛区長沼原町697,稲毛駅からバス,24時間営業一部0時閉店,,
ゲームファンタジア千葉北,千葉市稲毛区山王町316,四街道駅,,,
ラッキー西千葉店(LUKY WEST),千葉市稲毛区弥生町1-15,西千葉駅,,,
CLUBSEGA稲毛オーツーパーク,千葉市稲毛区園生町380-1,稲毛駅からバス,旧：SWオーツーパーク,,
ムー大陸稲毛,千葉市稲毛区小仲台2-5-7 海宝ビル 2F,稲毛駅,,,
パレパレ稲毛長沼店,千葉市稲毛区長沼原町731-17,稲毛駅からバス,2015/02/14開店旧：THE 3RD PLANETフレスポ千葉稲毛,,
らんらんらんど千葉長沼店,千葉市稲毛区長沼町330-50 ダイエー千葉長沼店 1F,,,,
わくわくワールド稲毛店,千葉市稲毛区小仲台7-2-1 マルエツ稲毛店 2F,,,,
西友都賀,千葉市若葉区西都賀2-2-2,,データカードダスとガチャポンのみ,,
ファンタジープラザ千城台,千葉市若葉区千城台北3-21-1 ラパーク千城台 3F,,,,
ナムコランドおゆみ野店,千葉市緑区おゆみ野中央2-3-1ミスターマックスおゆみ野ショッピングセンター内,京成千原線 学園前駅下車徒歩10分,,,
アミューズメントシティラクゾー鎌取店,千葉市緑区おゆみ野3-16 イオン鎌取店 5F,,,,
モーリーファンタジー鎌取店,千葉市緑区おゆみ野3-16 イオン鎌取店 3F,,,,
モーリーファンタジーおゆみ野店,千葉市緑区おゆみ野南5-37-1 イオンタウンおゆみ野2F,,MF鎌取店と混同しないこと,,
らんらんらんどあすみが丘店,千葉市緑区あすみが丘7-1 あすみが丘ブランニューモール 2F,,,,
セガ幕張,千葉市美浜区ひび野1-8 メッセアミューズモール1F,海浜幕張駅,旧：CS幕張,,
ファンパラダイス,千葉市美浜区高洲3-13-1 イオンマリンピア店 4F,,,,
ゲームファンタジア美浜,千葉市美浜区新港32-6-1 ハマニューポートリゾート 1号棟-2,稲毛海岸駅からバスあり,,,
namcoイオンモール幕張新都心店,千葉市美浜区豊砂1-1イオンモール幕張新都心グランドモール3F,,,,
モーリーファンタジー幕張新都心店,千葉市美浜区豊砂1-5イオンモール幕張新都心ファミリーモール2F,,,,
モーリーファンタジー銚子店,銚子市三崎町2丁目2660-1 イオンモール銚子 2F,R126沿い,イオン棟の中です,,
ゲームフジ市川,市川市市川1-9-11,市川駅,,,
ぷりモール宝島,市川市八幡2-6-7,本八幡駅,ぷりモール宝島の現在のOPはサン・ミューズです。,,
ゲームオット本八幡,市川市八幡2-16-6 八幡ビル B1F,旧：クラブセガ本八幡,,,
本八幡スターレーン,市川市南八幡4-9-1 メガドンキホーテ 6F,,,,
ラウンドワン市川鬼高店,千葉県市川市鬼高4-1-3,,,,
パロ市川店,市川市鬼高 1-1-1 ニッケコルトンプラザ 2F,鬼越駅,リンクはOPであるファンフィールドのサイトにしました。,,
らんらんらんど南行徳店,市川市南行徳2-20-25 ダイエー南行徳店　2F,南行徳駅,,,
TFS市川妙典店,市川市妙典4-1-1 イオン市川妙典店2番街 2F,,,,
モーリーファンタジー市川妙典3F店,市川市妙典5-3-1 イオン市川妙典店3F,2FのイオンはTFS市川妙典,,,
DAIKEIEN 大慶園,市川市大町359,,,,
アミューズメントパフェパレパレ市川妙典店,市川市妙典4-4-27,旧：ザ・サードプラネット市川妙典店2016/8/31閉店,,,
アドアーズ船橋店,船橋市本町1-31-26,船橋駅,2014/7/9 開店,,
わいわいランド船橋店,船橋市本町7-6-1 イトーヨーカドー船橋店 4F,,,,
タイトーステーション船橋店,船橋市本町1-6-1,2015/8/8 開店,,,
マリンガーデン,船橋市浜町2-1-1 ららぽーとTOKYO-BAY 西館3F,船橋競馬場/南船橋,2013/11/22開店,,
セガ ららぽーとTOKYO-BAY,船橋市浜町2-1-1 ららぽーとTOKYO-BAY 北館1F,2015/3/13開店,,,
テクモピア船橋店,船橋市浜町2-2-7　ビビット南船橋 4F,,,,
アミューズメントエース,船橋市前原西2-15-1 ファミービル 1F-3F,JR津田沼駅,,,
ゲームインファンファン北習志野店,船橋市習志野台2-6-17パチンコならしの 2F,北習志野駅,,,
パールプラザボウル,船橋市夏見1-16-38 パールプラザ 3F,,,,
船橋健康センター,船橋市夏見3-28-1,,,,
チャリオット船橋,船橋市藤原5-6-7 日野ビル 2F,,,,
namcoイオンモール船橋店,船橋市山手1丁目1-8イオンモール船橋3F,新船橋駅,,,
モーリーファンタジー船橋店,船橋市山手1丁目1-8 イオンモール船橋2F,,,,
エッグスポート船橋,船橋市浜町2-1-1 ららぽーとTOKYO-BAY 北館1F,2015年1月12日閉店,,,
モーリーファンタジー館山店,館山市八幡545-1 イオン館山店内,,旧：PP館山,,
館山ヤングボウル,館山市北条1564,JR内房線館山駅 徒歩12分,NESiCAxLive2筐体1セット(ALL.Net P-ras MULTIと入れ替え 公式HPに記載無し),,
ラッキー木更津店,木更津市中央1-2-19,,,,
イスカンダル,木更津市潮見4-1-2,,,,
宝島 新木更津店,木更津市請西南2-27-1イオンタウン木更津請西1F,,,,
ハローズガーデン 木更津店,木更津市ほたる野4-2-48 アピタ木更津店2F,,,,
パラボランド木更津,木更津市朝日3-10-19 グリーンシティ内,,,,
アドアーズアクアライン,木更津市中島地先 海ほたる4F,アクアライン経由のみ,アクアラインのPA内,,
ハイテクランドセガ岩瀬,松戸市岩瀬字鍛冶塚611-2,松戸駅から徒歩20分,,,
ソニックビーム,松戸市松戸1172-1,松戸駅東口徒歩2分,,,
カバロ松戸店,松戸市松戸1149　イトーヨーカドー松戸店 6F,松戸駅東口,,,
セガ松戸,松戸市日暮1-1-1 八柱駅第2ビル 2F,八柱駅/新八柱駅,AGスクエアはセガのお店になりました。,,
カバロ八柱店,松戸市日暮1-15　イトーヨーカドー八柱店,,,,
らんらんらんど新松戸店,松戸市新松戸3-2-2 ダイエー新松戸店 4F,新松戸駅,,,
Play Land 54 street 北小金店,松戸市小金1 イオン北小金店 5F,北小金駅,,,
北小金ボウル,松戸市根木内249-7,,,,
ときわ平ボウリングセンター　ゲームコーナー,松戸市常盤平2-8-2,新京成 常盤平駅,,,
ファミリーランド五香店,松戸市常磐平5-22-3　ザ・プライス五香店 2F,,,,
らんらんらんど五香店,松戸市五香8-44-6 オウル五香店 1F,,,,
にこぱ新鎌ヶ谷店,鎌ヶ谷市新鎌ヶ谷2-12-1 アクロスモール新鎌ヶ谷,,,,
モーリーファンタジー鎌ヶ谷店,鎌ヶ谷市新鎌ヶ谷2-7 イオン鎌ヶ谷SC2F,,,,
ファミリーブック鎌ヶ谷店,鎌ヶ谷市北初富8-1,新京成線北初富駅,,,
YAZワールド野田七光台,野田市七光台4-2 イオンタウン野田七光台内,,,,
千葉レジャーランド野田店,野田市吉春字鍵田776-1,,,,
モーリーファンタジーノア店,野田市中根36-1　イオンノア店1F,,,,
ゴジライオン野田店,野田市中根36－1　イオンノア店3階,,,,
アミュージアム茂原,茂原市高師1622-1,,音ゲー・ビデオ多数,,
アミューズランド・パル,千葉県茂原市六ツ野字高師野２７９９－４ イオン茂原,,,,
T/S茂原アスモ店,茂原市高師1735茂原ショッピングプラザアスモ2F,,旧：アスモメルヘンランド上記2店舗は別店舗なので注意,,
宝島成田店 成田ハートフルステーション,成田市赤坂2-1-14 ボンベルタ百貨店アネックスＢ館2F,,,,
セガワールド成田,成田市東町157-1,成田駅徒歩約15分,,,
プラサカプコン成田店,成田市ウイング土屋24 イオンモール成田 2F,京成成田よりバス有,,,
モーリーファンタジーイオン成田店,成田市ウイング土屋24 イオンモール成田 2F,イオン棟の中です,,,
ゲームパークZOOM,成田市ウイング土屋80ヒューマックスパビリオン成田 1F,,,,
ワンダービュー,成田市飯仲11-10,R51,ドンキ隣。旧ジョイタウン成田店?,,
テクモピアロックダム公津の杜店,成田市公津の杜4-5-3 ユアエルム成田 3F,公津の杜駅前,,,
アミュージアムユーカリが丘店,佐倉市ユーカリが丘4-1-4 ユーカリプラザ5F,ユーカリが丘駅,旧：よしもとゲームアミュージアム,,
