name,address,access,remarks,latitude,longitude
T.T BOWL美浜アメリカンビレッジ,中頭郡北谷町美浜9-8シーサイドスクエア2F,上に同じ,ボウリング場内ゲームコーナートータルアミューズメント・ガリバー系列。設置ゲーム機情報,,
テクモピア北谷,中頭郡北谷町美浜3-1-3,桑江バス停から徒歩4分,OPは琉球テクモピア（2011年3月31日コーエーテクモウェーブから営業譲渡）1Fプライズ・大型機、2Fメダルゲーム,,
ビバ・カーニバル,中頭郡北谷町美浜15-69カーニバルパーク・ミハマ,美浜アメリカンビレッジ北口バス停から徒歩1分桑江バス停から徒歩6分,観覧車が目印,,
ファンタジーアイランド 北谷店,中頭郡北谷町美浜8-3イオン北谷ショッピングセンター2F,美浜アメリカンビレッジ南口バス停前軍病院前バス停から徒歩6分,営業時間10:00～22:00,,
ジョイジャングル inカデナ,中頭郡嘉手納町字兼久372ネーブルカデナ南館2F,海浜公園前バス停から徒歩2分,旧：アミュージアム ネーブルカデナ店跡地に2010年6月開店,,
沖縄残波岬ロイヤルホテル,中頭郡読谷村字宇座1575,残波ロイヤルホテルバス停前読谷バスターミナルから徒歩約30分,ホテル内ゲームコーナープライズ、太鼓の達人、MJ4等設置,,
ナムコランド イオンタウン読谷ショッピングセンター店,中頭郡読谷村古堅740イオンタウン読谷ショッピングセンター内,イオンタウン読谷バス停前大湾バス停から徒歩約15分,,,
サンエー西原シティアミューズメントコーナー,中頭郡西原町嘉手苅130サンエー西原シティ2F,小那覇バス停前西原町役場前バス停から徒歩1分,旧：H/T西原。タイトー沖縄撤退時に別OPへ営業譲渡営業時間9:00～24:00,,
アミュージアム 南風原店,島尻郡南風原町字宮城371-1,南部保健所前バス停から徒歩5分,映画館併設,,
スポーツワールドサザンヒル,島尻郡南風原町宮平460-1,那覇バス新川営業所から徒歩約10分,,,
ファンタジーアイランド 南風原店,島尻郡南風原町字宮平264イオン南風原ショッピングセンター2F,南部保健所前バス停から徒歩3分沖縄都市モノレール首里駅から無料シャトルバス有り,営業時間10:00～22:00,,
ミルキーランド 津嘉山店,島尻郡南風原町津嘉山1471-2サンエーつかざんシティ2F,翔南製糖前バス停から徒歩1分,旧：H/T津嘉山。タイトー沖縄撤退時に別OPへ営業譲渡,,
ラウンドワン沖縄・南風原店,島尻郡南風原町字兼城552番地,印刷団地前バス停から徒歩1分,,,
ジョイジャングル,宮古島市平良字西里1003-1TSUTAYA沖縄宮古島店(旧：BOOKBOX宮古店)2F,下地鮮魚店前バス停から徒歩6分,,,
宮古ボウリングセンター,宮古島市平良字下里1259-5,「元うえのバス停前」バス停から徒歩6分,ボウリング場内ゲームコーナー,,
ゲームコーナーどきわくパニック,石垣市真栄里301-1サンエー石垣シティ内,サンエー前バス停前,営業時間9:00～22:00,,
ジョイジャングル やいま店,石垣市真栄里292-2イオンタウンやいま内,サンエー前バス停から徒歩2分,,,
TSUTAYA石垣店,石垣市真栄里440-3,八重山支庁前バス停から徒歩2分,,,
マックスバリュ平真店 ゲームコーナー,石垣市登野城632,かねひで前バス停から徒歩5分,たぶん日本最南端,,
